phage	num_hosts	min_host_similarity	kk_grp	family	order	nucleotide_level_divs	illumina_genome_len	bray_clusters_eps0.9	euclidean_clusters_eps15	eval	term_blast_ld	term_blast_sd	term_clust	term_ortho_sd	term_ortho_ld	cov_category	new_groups_sept
1.189.O.	1	100	6	 Siphoviridae 	 Caudovirales 	116	36855	19	19	3e-89	short DTR/T7	DTR	terminase18	NA	NA	shifts_in_coverage	6
1.190.O.	3	96.1472338039667	16	NA	NA	98	21785	31	6	1e-14	headful/Sf6	Headful	terminase34	NA	NA	even_coverage	16
1.191.O.	1	100	7	 Siphoviridae 	 Caudovirales 	117	48354	3	3	8e-62	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.193.O.	1	100	2	 Myoviridae 	 Caudovirales 	118	132560	30	0	NA	NA	NA	terminase14	NA	NA	short_internal_peak	2
1.194.O.	20	85.5888274903789	4	 Siphoviridae 	 Caudovirales 	18	59294	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.195.O.	18	85.5888274903789	4	 Siphoviridae 	 Caudovirales 	119	59738	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.196.O.	18	85.5888274903789	4	 Siphoviridae 	 Caudovirales 	18	59414	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.197.A.	1	100	1	 Siphoviridae 	 Caudovirales 	120	44587	15	17	2e-61	headful/933W	Headful	terminase6	Headful	headful/933W	shifts_in_coverage	1a
1.198.A.	1	100	1	 Siphoviridae 	 Caudovirales 	121	44472	27	28	3e-14	NoGroup	NoGroup	terminase25	NA	NA	even_coverage	1
1.198.B.	1	100	1	 Siphoviridae 	 Caudovirales 	121	44343	27	28	NA	NA	NA	terminase25	NA	NA	even_coverage	1
1.199.A.	1	100	1	 Myoviridae 	 Caudovirales 	122	48312	4	4	3e-67	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.199.B.	1	100	1	 Myoviridae 	 Caudovirales 	122	48312	4	4	3e-67	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.200.O.	18	85.5888274903789	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.201.B.	1	100	7	 Siphoviridae 	 Caudovirales 	123	50506	3	3	6e-67	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.202.O.	2	98.3966361597278	17	 Myoviridae 	 Caudovirales 	124	32014	0	6	0	5-cos/P2	Cos	terminase17	Cos	5-cos/P2	cos_pattern	17a
1.204.O.	2	99.3881233902555	11	 Podoviridae 	 Caudovirales 	125	44168	0	6	2e-129	short DTR/T7	DTR	terminase10	DTR	short DTR/T7	short_internal_peak	11a
1.205.O.	1	100	7	 Siphoviridae 	 Caudovirales 	126	57861	0	6	0	headful/933W	Headful	terminase6	Headful	headful/933W	shifts_in_coverage	9b
1.206.O.	2	98.5920152383146	6	 Siphoviridae 	 Caudovirales 	127	37551	19	19	4e-29	5-cos/P2	Cos	terminase9	NA	NA	long_internal_peak	6
1.207.B.	11	94.424665518641	13	 Siphoviridae 	 Caudovirales 	70	55793	25	24	NA	NA	NA	terminase29	NA	NA	long_internal_peak	13
1.208.B.	1	100	8	 Podoviridae 	 Caudovirales 	128	48927	35	29	3e-05	short DTR/T7	DTR	terminase11	NA	NA	short_internal_peak	8
1.209.O.	10	94.6028593163239	8	 Podoviridae 	 Caudovirales 	25	43712	8	9	1e-11	short DTR/T7	DTR	terminase11	NA	NA	cos_pattern	8
1.210.O.	1	100	9	 Siphoviridae 	 Caudovirales 	129	48224	21	21	9e-78	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	shifts_in_coverage	9a
1.211.A.	1	100	9	 Podoviridae 	 Caudovirales 	130	37169	34	6	3e-15	headful/933W	Headful	terminase39	NA	NA	short_internal_peak	9b
1.211.B.	1	100	9	 Podoviridae 	 Caudovirales 	130	37169	34	6	3e-15	headful/933W	Headful	terminase39	NA	NA	short_internal_peak	9b
1.213.O.	1	100	1	 Siphoviridae 	 Caudovirales 	131	42443	26	25	4e-69	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	shifts_in_coverage	1
1.214.O.	1	100	9	 Podoviridae 	 Caudovirales 	132	44205	7	8	1e-80	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	shifts_in_coverage	9
1.214.Y.	1	100	NoGroup	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.215.A.	26	64.3177518440576	10	 Siphoviridae 	 Caudovirales 	133	80834	36	30	NA	NA	NA	terminase38	NA	NA	short_internal_peak	10
1.215.B.	22	81.9312202203816	10	 Siphoviridae 	 Caudovirales 	133	80834	36	30	NA	NA	NA	terminase38	NA	NA	shifts_in_coverage	10
1.216.O.	1	100	1	 Siphoviridae 	 Caudovirales 	134	41359	26	25	8e-77	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	even_coverage	1
1.217.O.	8	82.3840941751771	17	 Myoviridae 	 Caudovirales 	19	26912	14	15	0	host ends/Mu	Mu	terminase12	Mu	host ends/Mu	mu_pattern	17
1.217.Y.	6	99.2964488686429	NoGroup	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.219.O.	5	98.699999717133	17	 Myoviridae 	 Caudovirales 	19	31617	14	15	0	host ends/Mu	Mu	terminase12	Mu	host ends/Mu	mu_pattern	17
1.223.O.	1	100	7	 Podoviridae 	 Caudovirales 	135	49535	3	3	1e-61	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.224.A.	3	96.2741583836267	5	 Podoviridae 	 Caudovirales 	101	71915	32	27	NA	NA	NA	terminase2	DTR	DTR/N4	short_internal_peak	5
1.225.O.	1	100	7	 Podoviridae 	 Caudovirales 	136	52615	3	3	2e-59	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	even_coverage	7
1.226.O.	1	100	6	 Siphoviridae 	 Caudovirales 	137	35655	19	19	2e-36	5-cos/P2	Cos	terminase9	NA	NA	even_coverage	6
1.228.O.	2	98.92054136172	6	 Siphoviridae 	 Caudovirales 	138	36667	19	19	3e-31	5-cos/P2	Cos	terminase9	NA	NA	long_internal_peak	6
1.231.O.	5	99.3914199994238	1	 Siphoviridae 	 Caudovirales 	72	44527	26	25	2e-93	headful/Sf6	Headful	terminase24	NA	NA	long_internal_peak	1
1.232.O.	1	100	1	 Podoviridae 	 Caudovirales 	139	56736	0	6	2e-08	headful/933W	Headful	terminase44	NA	NA	long_internal_peak	9b
1.233.A.	1	100	6	 Siphoviridae 	 Caudovirales 	140	36823	19	19	1e-29	5-cos/P2	Cos	terminase9	NA	NA	long_internal_peak	6
1.233.B.	1	100	6	 Siphoviridae 	 Caudovirales 	140	36823	19	19	1e-29	5-cos/P2	Cos	terminase9	NA	NA	shifts_in_coverage	6
1.235.O.	1	100	8	 Bacteriophage PA11 	 unclassified dsDNA phages	141	47017	37	31	5e-12	short DTR/T7	DTR	terminase11	NA	NA	shifts_in_coverage	8
1.236.O.	1	100	1	 Siphoviridae 	 Caudovirales 	142	42646	27	25	7e-75	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	shifts_in_coverage	1
1.237.A.	2	99.9441178419205	4	 Siphoviridae 	 Caudovirales 	143	60097	6	7	2e-21	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.237.B.	1	100	4	 Siphoviridae 	 Caudovirales 	143	60160	6	7	2e-21	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.238.A.	2	97.5867846410918	5	 Podoviridae 	 Caudovirales 	144	70494	38	32	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	short_internal_peak	5
1.238.B.	2	97.5867846410918	5	 Podoviridae 	 Caudovirales 	144	70467	38	32	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	short_internal_peak	5
1.239.O.	1	100	6	 Siphoviridae 	 Caudovirales 	145	38618	19	19	5e-61	headful/Sf6	Headful	terminase5	Headful	headful/Sf6	shifts_in_coverage	6
1.240.O.	1	100	6	 Siphoviridae 	 Caudovirales 	146	36710	19	19	4e-36	5-cos/P2	Cos	terminase9	NA	NA	long_internal_peak	6
1.242.O.	1	100	6	 Siphoviridae 	 Caudovirales 	147	36910	19	19	9e-36	5-cos/P2	Cos	terminase9	NA	NA	long_internal_peak	6
1.243.O.	1	100	1	 Myoviridae 	 Caudovirales 	148	48414	4	4	1e-67	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.244.A.	2	99.4011987155136	3	 Myoviridae 	 Caudovirales 	149	159885	39	33	3e-62	headful/T4	Headful	terminase15	Headful	headful/T4	shifts_in_coverage	2b
1.245.O.	2	96.4666849310965	5	 Podoviridae 	 Caudovirales 	150	71702	38	32	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	short_internal_peak	5
1.246.O.	1	100	7	 Podoviridae 	 Caudovirales 	151	47133	3	3	4e-67	Cos/lambda	Cos	terminase3	Cos	Cos/lambda	cos_pattern	7
1.247.A.	2	75.6841958167836	9	 Myoviridae 	 Caudovirales 	152	43896	7	8	7e-36	NoGroup	NoGroup	terminase8	NA	NA	long_internal_peak	9
1.247.B.	2	75.6841958167836	9	 Myoviridae 	 Caudovirales 	152	43896	7	8	7e-36	NoGroup	NoGroup	terminase8	NA	NA	long_internal_peak	9
1.248.O.	1	100	1	 Myoviridae 	 Caudovirales 	153	48301	4	4	2e-67	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.249.A.	1	100	15	 Tectivirus	 Tectiviridae	154	10611	40	6	NA	NA	NA	NA	NA	NA	even_coverage	15
1.249.B.	1	100	15	 Tectivirus	 Tectiviridae	154	10611	40	6	NA	NA	NA	NA	NA	NA	even_coverage	15
1.250.O.	1	100	4	 Siphoviridae 	 Caudovirales 	155	59981	6	7	3e-20	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.251.O.	1	100	4	 Siphoviridae 	 Caudovirales 	156	59649	6	7	9e-21	headful/Sf6	Headful	terminase1	NA	NA	long_internal_peak	4
1.253.O.	4	82.2989954439318	8	 Bacteriophage PA11 	 unclassified dsDNA phages	141	47008	37	31	5e-12	short DTR/T7	DTR	terminase11	NA	NA	shifts_in_coverage	8
1.254.O.	1	100	11	NA	NA	157	32699	28	26	2e-21	headful/933W	Headful	terminase33	NA	NA	short_internal_peak	11
1.255.O.	3	85.7680405381678	3	 Myoviridae 	 Caudovirales 	149	159885	39	33	3e-62	headful/T4	Headful	terminase15	Headful	headful/T4	long_internal_peak	2b
1.256.O.	5	76.1060548447153	1	 Myoviridae 	 Caudovirales 	158	48207	4	4	7e-65	headful/Sf6	Headful	terminase7	NA	NA	even_coverage	1a
1.257.O.	1	100	11	 Bacteriophage PA11 	 unclassified dsDNA phages	108	32371	28	26	9e-21	headful/933W	Headful	terminase33	NA	NA	short_internal_peak	11
1.259.O.	1	100	16	 Podoviridae 	 Caudovirales 	159	28145	29	6	2e-14	headful/Sf6	Headful	terminase34	NA	NA	shifts_in_coverage	16
1.261.O.	5	94.8980116425227	5	 Podoviridae 	 Caudovirales 	101	71992	32	27	NA	NA	NA	terminase2	DTR	DTR/N4	short_internal_peak	5
1.262.O.	1	100	8	 Podoviridae 	 Caudovirales 	160	47635	0	6	4e-111	headful/P22	Headful	terminase32	Headful	headful/P22	short_internal_peak	9
1.263.A.	1	100	1	 Myoviridae 	 Caudovirales 	161	49640	4	4	2e-64	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.263.B.	1	100	1	 Myoviridae 	 Caudovirales 	161	49640	4	4	2e-64	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.264.O.	1	100	8	 Bacteriophage PA11 	 unclassified dsDNA phages	162	47739	37	6	2e-13	short DTR/T7	DTR	terminase11	NA	NA	even_coverage	8
1.265.O.	1	100	1	 Siphoviridae 	 Caudovirales 	163	43630	27	25	1e-90	headful/Sf6	Headful	terminase24	NA	NA	shifts_in_coverage	1
1.266.O.	1	100	6	 Siphoviridae 	 Caudovirales 	164	34788	19	19	1e-36	5-cos/P2	Cos	terminase9	NA	NA	shifts_in_coverage	6
1.267.O.	17	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59414	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.268.A.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	NA	NA	NA	terminase1	NA	NA	shifts_in_coverage	4
1.268.B.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.269.O.	17	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	119	59738	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.270.A.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59294	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.270.B.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59294	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.271.A.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.271.B.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.272.O.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	5e-20	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.273.O.	2	97.7434880281943	1	 Myoviridae 	 Caudovirales 	165	48145	4	4	3e-78	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.274.O.	17	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59409	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.275.O.	1	100	9	 Podoviridae 	 Caudovirales 	166	37915	0	6	2e-70	headful/Sf6	Headful	terminase16	NA	NA	shifts_in_coverage	9
1.276.O.	2	100	1	 Siphoviridae 	 Caudovirales 	167	44334	0	25	7e-14	NoGroup	NoGroup	terminase25	NA	NA	shifts_in_coverage	1
1.277.A.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.277.B.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	168	59419	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.278.O.	1	100	1	 Myoviridae 	 Caudovirales 	169	49282	4	4	1e-64	headful/Sf6	Headful	terminase7	NA	NA	shifts_in_coverage	1a
1.280.O.	19	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.281.O.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59297	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.282.A.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	18	59359	13	14	2e-19	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.283.A.	19	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	119	59530	13	14	2e-18	headful/Sf6	Headful	terminase1	NA	NA	long_internal_peak	4
1.283.B.	19	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	119	59530	13	14	2e-18	headful/Sf6	Headful	terminase1	NA	NA	shifts_in_coverage	4
1.283.C.	18	91.5044228280174	4	 Siphoviridae 	 Caudovirales 	119	59530	13	14	2e-18	headful/Sf6	Headful	terminase1	NA	NA	even_coverage	4
1.284.A.	5	98.49214201873	1	 Siphoviridae 	 Caudovirales 	170	45648	15	17	9e-78	headful/933W	Headful	terminase6	Headful	headful/933W	long_internal_peak	1a
1.285.O.	1	100	4	 Siphoviridae 	 Caudovirales 	171	59437	6	7	3e-16	headful/Sf6	Headful	terminase1	NA	NA	long_internal_peak	4
1.286.O.	1	100	1	 Myoviridae 	 Caudovirales 	172	49131	4	4	1e-63	headful/Sf6	Headful	terminase7	NA	NA	long_internal_peak	1a
1.287.O.	5	98.49214201873	1	 Siphoviridae 	 Caudovirales 	170	45562	15	17	2e-87	headful/933W	Headful	terminase6	Headful	headful/933W	long_internal_peak	1a
1.289.A.	5	98.49214201873	1	 Siphoviridae 	 Caudovirales 	170	44529	15	17	9e-89	headful/933W	Headful	terminase6	Headful	headful/933W	shifts_in_coverage	1a
1.291.O.	1	100	1	 Siphoviridae 	 Caudovirales 	173	43662	15	17	1e-90	headful/933W	Headful	terminase6	Headful	headful/933W	shifts_in_coverage	1a
1.293.O.	9	97.5414945000881	8	 Podoviridae 	 Caudovirales 	174	48275	35	29	2e-04	short DTR/T7	DTR	terminase11	NA	NA	short_internal_peak	8
12G01.O.	1	100	NoGroup	 Siphoviridae 	 Caudovirales 	175	41498	1	1	2e-63	headful/Sf6	Headful	terminase16	NA	NA	even_coverage	1
2.044.O.	1	100	14	 Myoviridae 	 Caudovirales 	176	45020	2	2	4e-58	3-cos/HK97	Cos	terminase23	NA	NA	shifts_in_coverage	12/14
2.058.O.	5	92.7816864394229	3	 Myoviridae 	 Caudovirales 	177	101637	41	34	6e-65	5-cos/P2	Cos	terminase4	Cos	3-cos/HK97	cos_pattern	2b
2.092.O.	35	77.7340949446585	15	 Tectivirus	 Tectiviridae	5	10580	5	5	NA	NA	NA	NA	NA	NA	even_coverage	15
2.095.A.	1	100	1	 Siphoviridae 	 Caudovirales 	178	44649	33	25	8e-14	NoGroup	NoGroup	terminase25	NA	NA	even_coverage	1
2.095.B.	2	84.5105139029176	1	 Siphoviridae 	 Caudovirales 	178	44649	33	25	8e-14	NoGroup	NoGroup	terminase25	NA	NA	even_coverage	1
2.096.O.	2	76.0676111082698	12	 Siphoviridae 	 Caudovirales 	179	44683	16	18	3e-116	Cos/lambda	Cos	terminase26	NA	NA	shifts_in_coverage	12/14
2.117.O.	15	94.424665518641	13	 Siphoviridae 	 Caudovirales 	70	55795	25	24	NA	NA	NA	terminase29	NA	NA	long_internal_peak	13
2.130.O.	6	99.0579725945915	5	 Podoviridae 	 Caudovirales 	17	75797	12	13	0	DTR/N4	DTR	terminase2	DTR	DTR/N4	short_internal_peak	5
2.159.A.	3	99.3813016118617	17	 Myoviridae 	 Caudovirales 	19	31704	14	15	0	host ends/Mu	Mu	terminase12	Mu	host ends/Mu	mu_pattern	17
2.159.B.	3	99.3813016118617	17	 Myoviridae 	 Caudovirales 	19	31617	14	15	0	host ends/Mu	Mu	terminase12	Mu	host ends/Mu	mu_pattern	17
2.275.O.	7	81.8507679960603	3	 Myoviridae 	 Caudovirales 	180	348911	22	22	1e-71	headful/T4	Headful	terminase15	Headful	headful/T4	shifts_in_coverage	2b
3.058.O.	8	75.1606785764358	3	 Myoviridae 	 Caudovirales 	177	101642	41	34	1e-64	5-cos/P2	Cos	terminase4	Cos	3-cos/HK97	cos_pattern	2b
