protein_cluster	dbgrp
pvp1403	26
pvp1403	33
pvp1404	1.276.O.
pvp1404	26
pvp1404	33
pvp1405	26
pvp1405	27
pvp1405	33
pvp1406	1
pvp1406	26
pvp1406	27
pvp1406	7
pvp1406	9
pvp1407	12
pvp1407	19
pvp1407	30
pvp1408	1.029.O.
pvp1408	18
pvp1408	23
pvp1408	26
pvp1408	3
pvp1408	30
pvp1408	6
pvp1409	13
pvp1409	23
pvp1409	6
pvp1410	6
pvp1411	13
pvp1411	6
pvp1412	1.123.O.
pvp1412	21
pvp1412	3
pvp1412	4
pvp1413	5
pvp1414	1
pvp1414	1.275.O.
pvp1415	18
pvp1415	19
pvp1415	23
pvp1415	30
pvp1415	33
pvp1416	15
pvp1416	26
pvp1416	3
pvp1416	4
pvp1417	3
pvp1418	3
pvp1419	28
pvp1419	7
pvp1420	10
pvp1420	3
pvp1421	1.232.O.
pvp1421	14
pvp1422	1.276.O.
pvp1422	26
pvp1422	27
pvp1422	33
pvp1423	1.276.O.
pvp1423	19
pvp1423	26
pvp1423	27
pvp1424	12
pvp1424	22
pvp1424	38
pvp1425	1.009.O.
pvp1425	10
pvp1425	21
pvp1425	3
pvp1425	4
pvp1426	1.276.O.
pvp1426	19
pvp1427	1.182.O.
pvp1427	19
pvp1428	1.029.O.
pvp1428	19
pvp1429	1.123.O.
pvp1429	19
pvp1429	27
pvp1429	30
pvp1429	4
pvp1429	6
pvp1429	9
pvp1430	1.262.O.
pvp1430	1.275.O.
pvp1430	2
pvp1430	35
pvp1430	7
pvp1431	18
pvp1431	22
pvp1431	30
pvp1431	7
pvp1432	19
pvp1433	13
pvp1433	6
pvp1434	6
pvp1435	6
pvp1436	6
pvp1437	18
pvp1437	30
pvp1438	5
pvp1439	2
pvp1439	41
pvp1440	2
pvp1440	41
pvp1441	2
pvp1441	41
pvp1442	2
pvp1442	26
pvp1442	28
pvp1443	2
pvp1443	21
pvp1443	3
pvp1444	1.029.O.
pvp1444	1.123.O.
pvp1444	1.144.O.
pvp1444	15
pvp1444	2
pvp1444	3
pvp1444	4
pvp1445	18
pvp1445	22
pvp1445	30
pvp1445	38
pvp1445	41
pvp1446	1
pvp1447	1
pvp1448	1
pvp1449	1
pvp1450	1
pvp1451	1
pvp1452	1
pvp1453	1
pvp1454	1
pvp1454	23
pvp1455	1
pvp1456	1
pvp1457	1
pvp1458	19
pvp1458	26
pvp1458	33
pvp1459	1
pvp1460	1.009.O.
pvp1460	27
pvp1460	3
pvp1460	4
pvp1461	13
pvp1461	3
pvp1461	6
pvp1462	1.182.O.
pvp1462	11
pvp1462	28
pvp1463	10
pvp1463	3
pvp1464	14
pvp1465	14
pvp1466	14
pvp1467	14
pvp1468	14
pvp1469	14
pvp1470	14
pvp1471	14
pvp1472	14
pvp1473	14
pvp1474	14
pvp1475	14
pvp1476	14
pvp1477	14
pvp1478	14
pvp1479	14
pvp1480	14
pvp1481	14
pvp1482	14
pvp1483	14
pvp1484	14
pvp1485	14
pvp1486	14
pvp1487	14
pvp1488	14
pvp1489	14
pvp1490	14
pvp1491	14
pvp1492	14
pvp1493	14
pvp1494	14
pvp1495	14
pvp1496	14
pvp1497	14
pvp1498	14
pvp1499	10
pvp1499	15
pvp1499	27
pvp1499	3
pvp1500	19
pvp1501	19
pvp1501	35
pvp1502	1.182.O.
pvp1502	19
pvp1503	12
pvp1503	18
pvp1503	22
pvp1503	30
pvp1504	1.205.O.
pvp1504	18
pvp1504	23
pvp1504	30
pvp1505	24
pvp1505	26
pvp1505	7
pvp1505	9
pvp1506	12
pvp1506	38
pvp1507	12
pvp1507	38
pvp1508	12
pvp1508	38
pvp1509	12
pvp1509	38
pvp1510	12
pvp1510	38
pvp1511	12
pvp1511	38
pvp1512	12
pvp1512	38
pvp1513	4
pvp1514	10
pvp1514	3
pvp1515	10
pvp1515	3
pvp1516	1
pvp1516	1.144.O.
pvp1516	1.205.O.
pvp1516	1.275.O.
pvp1516	9
pvp1517	1.029.O.
pvp1517	1.054.O.
pvp1517	17
pvp1517	21
pvp1517	7
pvp1517	9
pvp1518	19
pvp1518	27
pvp1519	1.182.O.
pvp1519	19
pvp1520	32
pvp1520	38
pvp1521	32
pvp1521	38
pvp1522	32
pvp1522	38
pvp1523	32
pvp1523	38
pvp1524	32
pvp1524	38
pvp1525	32
pvp1525	38
pvp1526	1.031.O.
pvp1526	18
pvp1526	30
pvp1526	32
pvp1527	32
pvp1527	38
pvp1528	32
pvp1528	38
pvp1529	19
pvp1529	34
pvp1529	6
pvp1530	23
pvp1530	6
pvp1531	37
pvp1531	8
pvp1532	18
pvp1532	23
pvp1532	30
pvp1533	18
pvp1533	23
pvp1533	24
pvp1534	2
pvp1534	26
pvp1535	1.205.O.
pvp1535	2
pvp1536	32
pvp1536	41
pvp1537	1
pvp1537	1.276.O.
pvp1537	26
pvp1537	27
pvp1537	9
pvp1538	1
pvp1538	17
pvp1538	27
pvp1538	34
pvp1539	19
pvp1540	1.151.O.
pvp1540	12
pvp1540	26
pvp1540	29
pvp1540	38
pvp1541	2
pvp1541	31
pvp1542	14
pvp1543	14
pvp1544	14
pvp1545	14
pvp1546	14
pvp1547	14
pvp1548	1.054.O.
pvp1548	15
pvp1549	1.205.O.
pvp1549	15
pvp1550	15
pvp1551	15
pvp1552	1.029.O.
pvp1552	15
pvp1552	9
pvp1553	15
pvp1554	15
pvp1555	15
pvp1556	15
pvp1557	15
pvp1558	15
pvp1559	15
pvp1560	15
pvp1561	15
pvp1562	15
pvp1563	15
pvp1564	15
pvp1565	15
pvp1566	15
pvp1567	15
pvp1568	15
pvp1569	18
pvp1569	23
pvp1569	30
pvp1570	1
pvp1570	1.054.O.
pvp1570	18
pvp1570	27
pvp1570	7
pvp1570	9
pvp1571	18
pvp1571	23
pvp1571	30
pvp1572	18
pvp1572	23
pvp1572	30
pvp1573	18
pvp1573	23
pvp1573	30
pvp1574	18
pvp1574	23
pvp1574	30
pvp1575	26
pvp1575	4
pvp1576	26
pvp1576	27
pvp1576	9
pvp1577	18
pvp1577	23
pvp1577	30
pvp1578	1.151.O.
pvp1578	26
pvp1579	1.144.O.
pvp1579	26
pvp1579	27
pvp1580	19
pvp1581	15
pvp1581	26
pvp1581	6
pvp1582	12
pvp1582	30
pvp1583	12
pvp1583	30
pvp1584	27
pvp1584	4
pvp1584	7
pvp1585	10
pvp1585	11
pvp1586	1
pvp1586	1.144.O.
pvp1586	9
pvp1587	1.276.O.
pvp1587	27
pvp1587	33
pvp1587	34
pvp1588	1
pvp1588	1.054.O.
pvp1588	1.205.O.
pvp1588	27
pvp1588	7
pvp1589	1.151.O.
pvp1589	3
pvp1590	18
pvp1590	22
pvp1590	3
pvp1590	4
pvp1591	19
pvp1592	1.276.O.
pvp1592	33
pvp1592	7
pvp1592	9
pvp1593	18
pvp1593	23
pvp1593	30
pvp1594	18
pvp1594	30
pvp1594	32
pvp1595	21
pvp1595	7
pvp1596	21
pvp1596	7
pvp1597	21
pvp1597	7
pvp1598	21
pvp1598	7
pvp1599	21
pvp1599	7
pvp1600	21
pvp1600	7
pvp1601	1.275.O.
pvp1601	34
pvp1601	7
pvp1602	21
pvp1602	7
pvp1603	32
pvp1603	38
pvp1604	23
pvp1604	30
pvp1604	32
pvp1605	16
pvp1605	34
pvp1606	12
pvp1606	18
pvp1606	22
pvp1606	23
pvp1607	20
pvp1607	8
pvp1608	12
pvp1608	18
pvp1608	22
pvp1608	23
pvp1609	20
pvp1609	8
pvp1610	16
pvp1610	29
pvp1610	38
pvp1611	6
pvp1612	1.151.O.
pvp1612	19
pvp1612	27
pvp1612	33
pvp1613	6
pvp1614	19
pvp1614	4
pvp1615	4
pvp1616	18
pvp1616	30
pvp1616	8
pvp1617	20
pvp1617	8
pvp1618	20
pvp1618	8
pvp1619	20
pvp1619	8
pvp1620	20
pvp1620	8
pvp1621	20
pvp1621	8
pvp1622	20
pvp1622	8
pvp1623	20
pvp1623	8
pvp1624	20
pvp1624	8
pvp1625	20
pvp1625	8
pvp1626	20
pvp1626	8
pvp1627	20
pvp1627	8
pvp1628	2
pvp1629	2
pvp1630	2
pvp1631	2
pvp1632	2
pvp1633	2
pvp1634	2
pvp1635	2
pvp1636	2
pvp1637	2
pvp1638	2
pvp1639	2
pvp1640	2
pvp1641	2
pvp1642	2
pvp1643	2
pvp1644	2
pvp1645	2
pvp1646	2
pvp1647	2
pvp1648	2
pvp1649	2
pvp1650	2
pvp1651	2
pvp1652	2
pvp1653	2
pvp1654	1
pvp1655	1
pvp1655	17
pvp1655	26
pvp1655	3
pvp1655	7
pvp1656	1
pvp1656	27
pvp1656	9
pvp1657	1
pvp1657	9
pvp1658	3
pvp1659	1
pvp1659	3
pvp1660	2
pvp1660	29
pvp1661	13
pvp1661	6
pvp1662	3
pvp1663	1.054.O.
pvp1663	3
pvp1664	15
pvp1664	21
pvp1664	26
pvp1664	27
pvp1664	3
pvp1664	4
pvp1665	14
pvp1666	14
pvp1667	14
pvp1668	14
pvp1669	15
pvp1670	1
pvp1670	1.276.O.
pvp1670	22
pvp1670	9
pvp1671	5
pvp1672	17
pvp1672	19
pvp1672	33
pvp1672	9
pvp1673	18
pvp1673	23
pvp1673	30
pvp1674	18
pvp1674	23
pvp1674	30
pvp1675	18
pvp1675	23
pvp1675	30
pvp1676	18
pvp1676	23
pvp1676	30
pvp1677	18
pvp1677	23
pvp1677	30
pvp1678	18
pvp1678	23
pvp1678	30
pvp1679	18
pvp1679	23
pvp1679	30
pvp1680	18
pvp1680	23
pvp1680	30
pvp1681	18
pvp1681	23
pvp1681	30
pvp1682	18
pvp1682	23
pvp1682	30
pvp1683	18
pvp1683	23
pvp1683	30
pvp1684	18
pvp1684	23
pvp1684	30
pvp1685	18
pvp1685	23
pvp1685	30
pvp1686	18
pvp1686	23
pvp1686	30
pvp1687	18
pvp1687	23
pvp1687	30
pvp1688	22
pvp1688	32
pvp1689	15
pvp1689	26
pvp1689	4
pvp1690	1
pvp1690	19
pvp1690	26
pvp1691	1.144.O.
pvp1691	19
pvp1691	26
pvp1691	27
pvp1691	33
pvp1692	12
pvp1693	12
pvp1693	37
pvp1694	3
pvp1694	4
pvp1695	10
pvp1695	27
pvp1695	3
pvp1696	1.009.O.
pvp1696	10
pvp1696	24
pvp1697	4
pvp1698	1.029.O.
pvp1698	1.054.O.
pvp1698	9
pvp1699	1.029.O.
pvp1699	1.054.O.
pvp1699	9
pvp1700	1.029.O.
pvp1700	1.054.O.
pvp1700	9
pvp1701	1.029.O.
pvp1701	1.054.O.
pvp1701	9
pvp1702	1.029.O.
pvp1702	1.054.O.
pvp1702	9
pvp1703	1.029.O.
pvp1703	1.054.O.
pvp1703	9
pvp1704	1.029.O.
pvp1704	1.054.O.
pvp1704	9
pvp1705	1.029.O.
pvp1705	1.054.O.
pvp1705	9
pvp1706	1.029.O.
pvp1706	1.054.O.
pvp1706	9
pvp1707	1.029.O.
pvp1707	1.054.O.
pvp1707	9
pvp1708	1.029.O.
pvp1708	1.054.O.
pvp1708	9
pvp1709	1.029.O.
pvp1709	1.054.O.
pvp1709	9
pvp1710	1.029.O.
pvp1710	1.054.O.
pvp1710	9
pvp1711	26
pvp1711	27
pvp1711	9
pvp1712	1.144.O.
pvp1712	1.182.O.
pvp1712	19
pvp1712	3
pvp1712	9
pvp1713	1.029.O.
pvp1713	1.054.O.
pvp1713	9
pvp1714	1.144.O.
pvp1714	1.276.O.
pvp1714	27
pvp1715	1
pvp1715	1.029.O.
pvp1715	3
pvp1715	4
pvp1715	9
pvp1716	18
pvp1716	23
pvp1716	30
pvp1717	18
pvp1717	23
pvp1717	30
pvp1718	18
pvp1718	23
pvp1718	30
pvp1719	18
pvp1719	23
pvp1719	30
pvp1720	1.182.O.
pvp1720	19
pvp1721	1.123.O.
pvp1721	7
pvp1722	1.275.O.
pvp1722	7
pvp1723	19
pvp1724	11
pvp1724	19
pvp1725	1.262.O.
pvp1725	32
pvp1726	1.262.O.
pvp1726	32
pvp1727	23
pvp1727	32
pvp1728	32
pvp1728	6
pvp1729	22
pvp1729	32
pvp1730	15
pvp1730	19
pvp1730	6
pvp1730	7
pvp1731	1.054.O.
pvp1731	3
pvp1732	6
pvp1733	6
pvp1734	6
pvp1735	6
pvp1736	6
pvp1737	15
pvp1737	4
pvp1738	33
pvp1738	4
pvp1738	6
pvp1739	20
pvp1739	8
pvp1740	1.262.O.
pvp1740	8
pvp1741	1.232.O.
pvp1741	6
pvp1741	9
pvp1742	1.262.O.
pvp1742	19
pvp1742	26
pvp1742	27
pvp1743	15
pvp1743	18
pvp1743	3
pvp1743	41
pvp1744	22
pvp1744	39
pvp1744	41
pvp1745	22
pvp1745	39
pvp1745	41
pvp1746	22
pvp1746	39
pvp1746	41
pvp1747	22
pvp1747	39
pvp1747	41
pvp1748	1
pvp1748	9
pvp1749	1
pvp1749	15
pvp1749	26
pvp1749	27
pvp1750	3
pvp1750	30
pvp1750	7
pvp1751	25
pvp1751	3
pvp1752	2
pvp1753	2
pvp1754	2
pvp1755	2
pvp1756	2
pvp1757	2
pvp1758	12
pvp1759	13
pvp1759	6
pvp1760	14
pvp1761	14
pvp1762	15
pvp1763	1.054.O.
pvp1763	15
pvp1763	9
pvp1764	15
pvp1765	15
pvp1765	26
pvp1765	29
pvp1765	3
pvp1765	4
pvp1766	1.144.O.
pvp1766	19
pvp1766	4
pvp1767	15
pvp1767	4
pvp1767	7
pvp1768	15
pvp1769	5
pvp1770	19
pvp1770	7
pvp1770	9
pvp1771	18
pvp1771	30
pvp1772	18
pvp1772	23
pvp1772	30
pvp1773	18
pvp1773	30
pvp1774	18
pvp1774	30
pvp1775	26
pvp1775	27
pvp1776	19
pvp1776	26
pvp1776	9
pvp1777	12
pvp1778	12
pvp1779	12
pvp1780	12
pvp1781	12
pvp1782	12
pvp1783	12
pvp1784	12
pvp1785	12
pvp1786	12
pvp1787	12
pvp1788	12
pvp1789	32
pvp1790	12
pvp1791	12
pvp1792	12
pvp1793	12
pvp1794	12
pvp1795	12
pvp1796	12
pvp1797	12
pvp1798	12
pvp1799	12
pvp1800	12
pvp1801	12
pvp1802	12
pvp1803	12
pvp1804	12
pvp1805	12
pvp1806	12
pvp1807	12
pvp1808	12
pvp1809	12
pvp1810	12
pvp1811	12
pvp1812	12
pvp1813	12
pvp1814	12
pvp1815	12
pvp1816	12
pvp1817	12
pvp1818	12
pvp1819	12
pvp1820	12
pvp1821	12
pvp1822	12
pvp1823	10
pvp1823	6
pvp1824	1
pvp1824	10
pvp1824	3
pvp1825	10
pvp1825	3
pvp1826	10
pvp1826	3
pvp1827	19
pvp1827	4
pvp1828	1.029.O.
pvp1828	9
pvp1829	1.029.O.
pvp1829	9
pvp1830	27
pvp1830	30
pvp1830	6
pvp1831	27
pvp1831	4
pvp1832	1
pvp1832	27
pvp1832	3
pvp1832	6
pvp1832	9
pvp1833	1.151.O.
pvp1833	34
pvp1833	6
pvp1834	1.151.O.
pvp1834	1.232.O.
pvp1834	28
pvp1834	36
pvp1835	1.009.O.
pvp1835	1.232.O.
pvp1835	17
pvp1835	20
pvp1835	23
pvp1836	19
pvp1836	26
pvp1836	33
pvp1837	19
pvp1838	19
pvp1838	7
pvp1839	1.276.O.
pvp1839	17
pvp1839	7
pvp1840	18
pvp1840	23
pvp1840	30
pvp1841	18
pvp1841	23
pvp1841	30
pvp1842	30
pvp1842	35
pvp1842	37
pvp1843	6
pvp1843	7
pvp1844	19
pvp1844	30
pvp1844	4
pvp1845	1.204.O.
pvp1845	18
pvp1845	23
pvp1845	30
pvp1846	7
pvp1847	7
pvp1848	7
pvp1849	7
pvp1850	7
pvp1851	7
pvp1852	7
pvp1853	7
pvp1854	7
pvp1855	7
pvp1856	1.205.O.
pvp1856	1.275.O.
pvp1856	7
pvp1857	17
pvp1857	23
pvp1857	3
pvp1857	7
pvp1858	7
pvp1859	7
pvp1860	7
pvp1861	7
pvp1862	7
pvp1863	32
pvp1864	32
pvp1865	32
pvp1866	32
pvp1867	32
pvp1868	32
pvp1869	32
pvp1870	32
pvp1871	32
pvp1872	32
pvp1873	32
pvp1874	32
pvp1875	32
pvp1876	32
pvp1877	32
pvp1878	32
pvp1879	32
pvp1880	32
pvp1881	32
pvp1882	32
pvp1883	32
pvp1884	32
pvp1885	32
pvp1886	32
pvp1887	32
pvp1888	32
pvp1889	32
pvp1890	32
pvp1891	32
pvp1892	32
pvp1893	32
pvp1894	32
pvp1895	32
pvp1896	32
pvp1897	32
pvp1898	32
pvp1899	32
pvp1900	32
pvp1901	32
pvp1902	32
pvp1903	32
pvp1904	32
pvp1905	34
pvp1905	35
pvp1905	7
pvp1906	1.262.O.
pvp1906	35
pvp1906	37
pvp1907	1.262.O.
pvp1907	35
pvp1907	37
pvp1908	3
pvp1909	11
pvp1909	15
pvp1910	16
pvp1910	21
pvp1910	22
pvp1911	6
pvp1912	6
pvp1913	6
pvp1914	13
pvp1914	6
pvp1915	17
pvp1915	24
pvp1915	29
pvp1915	4
pvp1916	5
pvp1917	1.144.O.
pvp1917	17
pvp1917	3
pvp1917	6
pvp1918	18
pvp1918	3
pvp1918	30
pvp1918	39
pvp1919	1.123.O.
pvp1919	6
pvp1920	19
pvp1921	8
pvp1922	8
pvp1923	8
pvp1924	8
pvp1925	8
pvp1926	8
pvp1927	8
pvp1928	8
pvp1929	8
pvp1930	8
pvp1931	8
pvp1932	8
pvp1933	8
pvp1934	8
pvp1935	8
pvp1936	8
pvp1937	8
pvp1938	8
pvp1939	8
pvp1940	8
pvp1941	8
pvp1942	8
pvp1943	8
pvp1944	8
pvp1945	8
pvp1946	8
pvp1947	8
pvp1948	8
pvp1949	8
pvp1950	8
pvp1951	8
pvp1952	8
pvp1953	8
pvp1954	8
pvp1955	15
pvp1956	19
pvp1957	31
pvp1957	34
pvp1958	22
pvp1958	39
pvp1958	41
pvp1959	22
pvp1959	39
pvp1959	41
pvp1960	22
pvp1960	39
pvp1960	41
pvp1961	1
pvp1961	9
pvp1962	26
pvp1962	34
pvp1963	1
pvp1963	17
pvp1963	19
pvp1964	1.144.O.
pvp1964	1.204.O.
pvp1964	6
pvp1964	7
pvp1965	19
pvp1966	22
pvp1966	25
pvp1967	25
pvp1968	25
pvp1968	3
pvp1969	1.182.O.
pvp1969	28
pvp1970	28
pvp1970	3
pvp1971	28
pvp1972	3
pvp1973	3
pvp1973	4
pvp1974	3
pvp1975	19
pvp1976	15
pvp1977	15
pvp1977	4
pvp1978	15
pvp1978	6
pvp1979	21
pvp1979	24
pvp1979	3
pvp1980	15
pvp1980	22
pvp1981	1.276.O.
pvp1981	3
pvp1981	4
pvp1982	1.204.O.
pvp1982	18
pvp1982	3
pvp1982	30
pvp1983	19
pvp1984	1.031.O.
pvp1984	18
pvp1984	22
pvp1984	39
pvp1985	1
pvp1985	18
pvp1985	9
pvp1986	18
pvp1986	23
pvp1986	30
pvp1987	18
pvp1987	23
pvp1987	30
pvp1988	18
pvp1988	30
pvp1989	18
pvp1989	22
pvp1989	23
pvp1990	18
pvp1990	30
pvp1991	26
pvp1992	26
pvp1993	26
pvp1994	15
pvp1994	26
pvp1994	27
pvp1994	4
pvp1995	15
pvp1995	4
pvp1996	1.232.O.
pvp1996	10
pvp1997	10
pvp1997	3
pvp1998	10
pvp1998	3
pvp1999	1
pvp1999	9
pvp2000	19
pvp2000	9
pvp2001	27
pvp2001	30
pvp2002	27
pvp2002	3
pvp2002	4
pvp2003	19
pvp2004	19
pvp2005	19
pvp2006	1.182.O.
pvp2006	19
pvp2007	1
pvp2008	1.276.O.
pvp2008	26
pvp2008	27
pvp2009	1.276.O.
pvp2009	22
pvp2009	27
pvp2009	33
pvp2010	23
pvp2010	30
pvp2011	18
pvp2011	30
pvp2012	18
pvp2012	30
pvp2013	18
pvp2013	22
pvp2013	30
pvp2014	18
pvp2014	30
pvp2015	7
pvp2016	1
pvp2016	26
pvp2016	6
pvp2016	7
pvp2017	1.182.O.
pvp2017	19
pvp2018	32
pvp2019	32
pvp2020	32
pvp2021	32
pvp2022	32
pvp2023	1
pvp2023	9
pvp2024	18
pvp2024	23
pvp2024	24
pvp2025	23
pvp2025	37
pvp2026	1.232.O.
pvp2026	17
pvp2026	20
pvp2026	23
pvp2027	1.009.O.
pvp2027	17
pvp2027	20
pvp2027	23
pvp2028	35
pvp2028	37
pvp2029	35
pvp2029	37
pvp2030	35
pvp2030	37
pvp2031	35
pvp2031	37
pvp2032	29
pvp2032	38
pvp2033	6
pvp2034	6
pvp2035	34
pvp2035	6
pvp2036	17
pvp2036	19
pvp2036	6
pvp2037	16
pvp2038	3
pvp2039	1.182.O.
pvp2039	11
pvp2040	1.031.O.
pvp2040	22
pvp2040	39
pvp2041	6
pvp2042	6
pvp2043	3
pvp2044	13
pvp2044	6
pvp2045	1.182.O.
pvp2045	19
pvp2046	1.182.O.
pvp2046	19
pvp2047	6
pvp2048	21
pvp2048	4
pvp2049	6
pvp2050	13
pvp2050	6
pvp2051	6
pvp2052	6
pvp2053	8
pvp2054	8
pvp2055	8
pvp2056	8
pvp2057	8
pvp2058	8
pvp2059	4
pvp2060	4
pvp2061	19
pvp2062	19
pvp2063	26
pvp2063	27
pvp2063	3
pvp2064	13
pvp2065	16
pvp2066	16
pvp2067	16
pvp2068	16
pvp2069	16
pvp2070	16
pvp2071	16
pvp2072	16
pvp2073	16
pvp2074	16
pvp2075	16
pvp2076	16
pvp2077	16
pvp2078	16
pvp2079	16
pvp2080	16
pvp2081	16
pvp2082	16
pvp2083	16
pvp2084	16
pvp2085	16
pvp2086	16
pvp2087	16
pvp2088	16
pvp2089	16
pvp2090	16
pvp2091	16
pvp2092	16
pvp2093	8
pvp2094	16
pvp2095	12
pvp2096	12
pvp2097	12
pvp2098	12
pvp2099	12
pvp2100	12
pvp2101	12
pvp2102	12
pvp2103	12
pvp2104	12
pvp2105	12
pvp2106	12
pvp2107	12
pvp2108	12
pvp2109	12
pvp2110	12
pvp2111	12
pvp2112	12
pvp2113	1.275.O.
pvp2113	34
pvp2114	1.275.O.
pvp2114	26
pvp2114	27
pvp2115	22
pvp2116	18
pvp2116	30
pvp2116	41
pvp2117	39
pvp2117	41
pvp2118	22
pvp2118	38
pvp2119	39
pvp2119	41
pvp2120	1
pvp2121	1
pvp2121	9
pvp2122	3
pvp2123	1.144.O.
pvp2123	25
pvp2124	25
pvp2124	32
pvp2125	1.151.O.
pvp2125	25
pvp2126	1.009.O.
pvp2126	25
pvp2127	25
pvp2127	4
pvp2128	28
pvp2129	28
pvp2130	28
pvp2131	28
pvp2132	28
pvp2133	28
pvp2134	28
pvp2135	28
pvp2136	28
pvp2137	28
pvp2138	28
pvp2139	28
pvp2140	28
pvp2141	28
pvp2142	28
pvp2143	28
pvp2144	28
pvp2145	28
pvp2146	28
pvp2147	28
pvp2148	28
pvp2149	28
pvp2150	28
pvp2151	28
pvp2152	28
pvp2153	28
pvp2154	28
pvp2155	28
pvp2156	28
pvp2157	27
pvp2157	3
pvp2158	3
pvp2159	15
pvp2159	3
pvp2160	1
pvp2160	3
pvp2161	3
pvp2162	15
pvp2163	19
pvp2164	18
pvp2164	22
pvp2164	6
pvp2165	18
pvp2165	30
pvp2166	18
pvp2166	30
pvp2167	18
pvp2167	30
pvp2167	7
pvp2168	1.262.O.
pvp2168	18
pvp2168	30
pvp2169	18
pvp2169	22
pvp2169	30
pvp2170	18
pvp2170	23
pvp2170	30
pvp2171	18
pvp2171	30
pvp2172	18
pvp2172	22
pvp2172	23
pvp2173	18
pvp2173	23
pvp2174	18
pvp2174	38
pvp2175	26
pvp2175	4
pvp2175	9
pvp2176	26
pvp2177	26
pvp2178	26
pvp2179	15
pvp2179	19
pvp2179	26
pvp2179	6
pvp2180	1.144.O.
pvp2180	26
pvp2181	10
pvp2182	10
pvp2183	10
pvp2184	10
pvp2185	10
pvp2186	10
pvp2187	10
pvp2188	10
pvp2189	10
pvp2190	1.054.O.
pvp2190	9
pvp2191	1.276.O.
pvp2191	27
pvp2191	30
pvp2192	4
pvp2192	9
pvp2193	27
pvp2193	4
pvp2194	1
pvp2195	1
pvp2195	26
pvp2195	27
pvp2196	1
pvp2196	19
pvp2196	26
pvp2197	1.276.O.
pvp2197	4
pvp2198	19
pvp2199	17
pvp2199	19
pvp2199	7
pvp2200	19
pvp2201	18
pvp2201	30
pvp2202	18
pvp2202	23
pvp2202	30
pvp2203	18
pvp2203	30
pvp2204	23
pvp2204	27
pvp2204	30
pvp2205	23
pvp2205	30
pvp2206	18
pvp2206	30
pvp2207	18
pvp2207	30
pvp2208	18
pvp2208	30
pvp2209	18
pvp2209	30
pvp2210	23
pvp2210	30
pvp2211	23
pvp2211	30
pvp2212	30
pvp2212	4
pvp2213	18
pvp2213	30
pvp2214	18
pvp2214	30
pvp2215	18
pvp2215	30
pvp2216	19
pvp2217	19
pvp2218	1.054.O.
pvp2218	19
pvp2218	7
pvp2219	7
pvp2220	1.144.O.
pvp2220	33
pvp2220	7
pvp2221	19
pvp2222	19
pvp2223	1.205.O.
pvp2223	38
pvp2224	32
pvp2225	19
pvp2225	33
pvp2226	1.262.O.
pvp2226	23
pvp2226	4
pvp2227	23
pvp2227	30
pvp2227	4
pvp2228	18
pvp2228	23
pvp2228	30
pvp2229	18
pvp2229	23
pvp2230	18
pvp2230	23
pvp2230	30
pvp2231	18
pvp2231	23
pvp2232	18
pvp2232	21
pvp2232	35
pvp2233	24
pvp2233	35
pvp2234	20
pvp2234	35
pvp2235	38
pvp2235	8
pvp2236	19
pvp2236	38
pvp2237	1.262.O.
pvp2237	38
pvp2238	1
pvp2238	27
pvp2238	3
pvp2238	9
pvp2239	11
pvp2240	11
pvp2241	11
pvp2242	11
pvp2243	11
pvp2244	11
pvp2245	11
pvp2246	11
pvp2247	11
pvp2248	11
pvp2249	11
pvp2250	11
pvp2251	11
pvp2252	11
pvp2253	11
pvp2254	11
pvp2255	11
pvp2256	11
pvp2257	11
pvp2258	11
pvp2259	11
pvp2260	11
pvp2261	11
pvp2262	11
pvp2263	11
pvp2264	11
pvp2265	11
pvp2266	11
pvp2267	11
pvp2268	11
pvp2269	22
pvp2269	39
pvp2270	18
pvp2270	22
pvp2270	23
pvp2271	22
pvp2271	39
pvp2272	22
pvp2272	39
pvp2273	11
pvp2274	11
pvp2275	22
pvp2275	39
pvp2276	22
pvp2276	39
pvp2277	3
pvp2278	27
pvp2278	9
pvp2279	6
pvp2280	4
pvp2281	1.054.O.
pvp2281	23
pvp2281	3
pvp2282	1
pvp2282	15
pvp2282	3
pvp2282	33
pvp2283	1.205.O.
pvp2283	1.275.O.
pvp2283	21
pvp2283	7
pvp2284	18
pvp2284	3
pvp2284	4
pvp2285	18
pvp2285	23
pvp2285	30
pvp2286	18
pvp2286	30
pvp2287	15
pvp2287	18
pvp2287	30
pvp2287	4
pvp2288	18
pvp2288	30
pvp2289	6
pvp2290	19
pvp2290	6
pvp2290	9
pvp2291	6
pvp2292	6
pvp2293	15
pvp2294	15
pvp2295	36
pvp2295	39
pvp2296	19
pvp2297	4
pvp2298	19
pvp2298	9
pvp2299	1
pvp2299	1.232.O.
pvp2299	11
pvp2299	3
pvp2300	16
pvp2301	16
pvp2302	3
pvp2302	6
pvp2303	8
pvp2304	8
pvp2305	8
pvp2306	6
pvp2307	26
pvp2307	27
pvp2307	33
pvp2308	32
pvp2309	32
pvp2310	32
pvp2311	37
pvp2311	39
pvp2312	12
pvp2313	34
pvp2314	34
pvp2315	34
pvp2316	34
pvp2317	34
pvp2318	34
pvp2319	34
pvp2320	34
pvp2321	34
pvp2322	34
pvp2323	34
pvp2324	34
pvp2325	34
pvp2326	22
pvp2326	39
pvp2327	1.205.O.
pvp2327	34
pvp2328	7
pvp2329	29
pvp2329	31
pvp2330	29
