organism	protein_cluster
1.186.O.	pvp1080
1.199.B.	pvp1080
1.199.A.	pvp1080
1.256.O.	pvp1080
1.263.A.	pvp1080
1.007.O.	pvp1080
1.149.O.	pvp1080
1.105.O.	pvp1080
1.286.O.	pvp1080
1.248.O.	pvp1080
1.278.O.	pvp1080
1.263.B.	pvp1080
1.087.A.	pvp1081
1.246.O.	pvp1081
1.273.O.	pvp1081
1.286.O.	pvp1081
1.106.O.	pvp1081
1.007.O.	pvp1081
1.149.O.	pvp1081
1.186.O.	pvp1081
1.124.O.	pvp1081
1.223.O.	pvp1081
1.173.O.	pvp1081
1.226.O.	pvp1081
1.105.O.	pvp1081
1.256.O.	pvp1081
1.263.A.	pvp1081
1.275.O.	pvp1081
1.199.B.	pvp1081
1.243.O.	pvp1081
1.247.B.	pvp1081
1.247.A.	pvp1081
1.122.B.	pvp1081
1.122.A.	pvp1081
1.232.O.	pvp1081
1.184.A.	pvp1081
1.211.A.	pvp1081
1.211.B.	pvp1081
1.134.O.	pvp1081
1.191.O.	pvp1081
1.086.O.	pvp1081
1.005.O.	pvp1081
1.248.O.	pvp1081
1.199.A.	pvp1081
1.029.O.	pvp1081
1.182.O.	pvp1081
1.278.O.	pvp1081
1.263.B.	pvp1081
1.164.O.	pvp1081
1.183.O.	pvp1081
1.205.O.	pvp1081
1.177.O.	pvp1082
1.213.O.	pvp1082
1.137.O.	pvp1082
1.216.O.	pvp1082
1.110.O.	pvp1082
1.135.O.	pvp1082
1.239.O.	pvp1082
1.127.O.	pvp1082
1.143.O.	pvp1082
1.119.O.	pvp1082
1.231.O.	pvp1082
1.178.O.	pvp1082
1.071.A.	pvp1082
1.016.O.	pvp1082
1.105.O.	pvp1082
1.243.O.	pvp1082
1.199.A.	pvp1082
1.199.B.	pvp1082
1.248.O.	pvp1082
1.173.O.	pvp1082
1.286.O.	pvp1082
1.273.O.	pvp1082
1.106.O.	pvp1082
1.256.O.	pvp1082
1.186.O.	pvp1082
1.263.A.	pvp1082
1.007.O.	pvp1082
1.149.O.	pvp1082
1.013.O.	pvp1082
1.265.O.	pvp1082
1.042.O.	pvp1082
1.112.O.	pvp1082
1.123.O.	pvp1082
1.278.O.	pvp1082
1.263.B.	pvp1082
1.236.O.	pvp1082
1.214.O.	pvp1082
1.184.A.	pvp1082
1.085.O.	pvp1083
1.131.O.	pvp1083
1.122.A.	pvp1083
1.147.O.	pvp1083
1.162.O.	pvp1083
1.132.O.	pvp1083
1.242.O.	pvp1083
1.266.O.	pvp1083
1.133.O.	pvp1083
1.165.O.	pvp1083
1.226.O.	pvp1083
1.168.O.	pvp1083
1.115.A.	pvp1083
1.167.O.	pvp1083
1.108.O.	pvp1083
1.110.O.	pvp1083
1.064.O.	pvp1083
1.074.O.	pvp1083
1.172.O.	pvp1083
1.240.O.	pvp1083
1.116.O.	pvp1083
1.134.O.	pvp1083
1.157.O.	pvp1083
1.228.O.	pvp1083
1.082.O.	pvp1083
1.148.O.	pvp1083
1.189.C.	pvp1083
1.189.O.	pvp1083
1.189.B.	pvp1083
1.239.O.	pvp1083
1.076.O.	pvp1083
1.210.O.	pvp1083
1.013.O.	pvp1083
1.122.B.	pvp1083
1.115.B.	pvp1083
1.214.O.	pvp1083
1.176.O.	pvp1083
1.246.O.	pvp1084
1.030.O.	pvp1084
1.174.O.	pvp1084
1.086.O.	pvp1084
1.216.O.	pvp1084
1.213.O.	pvp1084
1.135.O.	pvp1084
1.289.A.	pvp1084
1.113.A.	pvp1084
1.256.O.	pvp1084
1.047.O.	pvp1084
1.122.A.	pvp1084
1.284.A.	pvp1084
1.197.A.	pvp1084
1.137.O.	pvp1084
1.127.O.	pvp1084
1.291.O.	pvp1084
1.063.O.	pvp1084
1.100.O.	pvp1084
2.095.A.	pvp1084
1.177.O.	pvp1084
1.111.B.	pvp1084
1.111.A.	pvp1084
1.123.O.	pvp1084
1.143.O.	pvp1084
1.231.O.	pvp1084
1.119.O.	pvp1084
1.199.B.	pvp1084
1.199.A.	pvp1084
1.122.B.	pvp1084
1.091.O.	pvp1084
1.079.O.	pvp1084
1.090.B.	pvp1084
1.243.O.	pvp1084
1.060.A.	pvp1084
2.095.B.	pvp1084
1.278.O.	pvp1084
1.283.A.	pvp1085
1.270.B.	pvp1085
1.281.O.	pvp1085
1.270.A.	pvp1085
1.269.O.	pvp1085
1.277.A.	pvp1085
1.194.O.	pvp1085
1.027.O.	pvp1085
1.271.A.	pvp1085
1.282.A.	pvp1085
1.274.O.	pvp1085
1.283.C.	pvp1085
1.268.A.	pvp1085
1.171.O.	pvp1085
1.271.B.	pvp1085
1.277.B.	pvp1085
1.250.O.	pvp1085
1.104.O.	pvp1085
1.088.O.	pvp1085
1.118.B.	pvp1085
1.237.B.	pvp1085
1.118.A.	pvp1085
1.285.O.	pvp1085
1.024.O.	pvp1085
1.009.O.	pvp1085
1.283.B.	pvp1085
1.268.B.	pvp1085
1.200.O.	pvp1085
1.196.O.	pvp1085
1.160.O.	pvp1085
1.237.A.	pvp1085
1.280.O.	pvp1085
1.023.O.	pvp1085
1.103.O.	pvp1085
1.195.O.	pvp1085
1.267.O.	pvp1085
1.272.O.	pvp1085
1.283.A.	pvp1086
1.281.O.	pvp1086
1.270.B.	pvp1086
1.269.O.	pvp1086
1.277.A.	pvp1086
1.194.O.	pvp1086
1.027.O.	pvp1086
1.270.A.	pvp1086
1.277.B.	pvp1086
1.271.A.	pvp1086
1.282.A.	pvp1086
1.283.C.	pvp1086
1.268.A.	pvp1086
1.274.O.	pvp1086
1.271.B.	pvp1086
1.046.O.	pvp1086
1.118.B.	pvp1086
1.118.A.	pvp1086
1.237.B.	pvp1086
1.032.O.	pvp1086
1.089.O.	pvp1086
1.022.O.	pvp1086
1.250.O.	pvp1086
1.024.O.	pvp1086
1.088.O.	pvp1086
1.283.B.	pvp1086
1.268.B.	pvp1086
1.200.O.	pvp1086
1.196.O.	pvp1086
1.237.A.	pvp1086
1.160.O.	pvp1086
1.098.O.	pvp1086
1.280.O.	pvp1086
1.195.O.	pvp1086
1.267.O.	pvp1086
1.272.O.	pvp1086
1.012.O.	pvp1086
1.003.O.	pvp1087
1.038.O.	pvp1087
1.079.O.	pvp1087
1.133.O.	pvp1087
1.116.O.	pvp1087
1.226.O.	pvp1087
1.266.O.	pvp1087
1.157.O.	pvp1087
1.206.O.	pvp1087
1.039.O.	pvp1087
1.213.O.	pvp1087
1.147.O.	pvp1087
1.162.O.	pvp1087
1.085.O.	pvp1087
1.064.O.	pvp1087
1.108.O.	pvp1087
1.233.A.	pvp1087
1.233.B.	pvp1087
1.242.O.	pvp1087
1.061.O.	pvp1087
1.115.A.	pvp1087
1.239.O.	pvp1087
1.132.O.	pvp1087
1.228.O.	pvp1087
1.172.O.	pvp1087
1.091.O.	pvp1087
12G01.O.	pvp1087
1.067.O.	pvp1087
1.115.B.	pvp1087
1.189.O.	pvp1087
1.189.C.	pvp1087
1.189.B.	pvp1087
1.135.O.	pvp1087
1.042.O.	pvp1087
1.054.O.	pvp1087
1.176.O.	pvp1087
1.283.A.	pvp1088
1.270.B.	pvp1088
1.281.O.	pvp1088
1.270.A.	pvp1088
1.269.O.	pvp1088
1.277.A.	pvp1088
1.194.O.	pvp1088
1.027.O.	pvp1088
1.277.B.	pvp1088
1.271.A.	pvp1088
1.282.A.	pvp1088
1.274.O.	pvp1088
1.283.C.	pvp1088
1.268.A.	pvp1088
1.171.O.	pvp1088
1.271.B.	pvp1088
1.250.O.	pvp1088
1.118.B.	pvp1088
1.118.A.	pvp1088
1.237.B.	pvp1088
1.024.O.	pvp1088
1.088.O.	pvp1088
1.104.O.	pvp1088
1.089.O.	pvp1088
1.283.B.	pvp1088
1.268.B.	pvp1088
1.200.O.	pvp1088
1.196.O.	pvp1088
1.160.O.	pvp1088
1.237.A.	pvp1088
1.098.O.	pvp1088
1.280.O.	pvp1088
1.195.O.	pvp1088
1.267.O.	pvp1088
1.272.O.	pvp1088
1.012.O.	pvp1088
1.283.A.	pvp1089
1.283.C.	pvp1089
1.251.O.	pvp1089
1.269.O.	pvp1089
1.022.O.	pvp1089
1.089.O.	pvp1089
1.281.O.	pvp1089
1.270.B.	pvp1089
1.277.A.	pvp1089
1.194.O.	pvp1089
1.027.O.	pvp1089
1.270.A.	pvp1089
1.271.A.	pvp1089
1.282.A.	pvp1089
1.277.B.	pvp1089
1.274.O.	pvp1089
1.268.A.	pvp1089
1.171.O.	pvp1089
1.271.B.	pvp1089
1.261.O.	pvp1089
1.188.A.	pvp1089
1.188.B.	pvp1089
1.283.B.	pvp1089
1.268.B.	pvp1089
1.200.O.	pvp1089
1.196.O.	pvp1089
1.098.O.	pvp1089
1.224.A.	pvp1089
1.169.O.	pvp1089
1.228.O.	pvp1089
1.280.O.	pvp1089
1.188.C.	pvp1089
1.195.O.	pvp1089
1.267.O.	pvp1089
1.272.O.	pvp1089
1.012.O.	pvp1089
1.283.A.	pvp1090
1.270.B.	pvp1090
1.281.O.	pvp1090
1.270.A.	pvp1090
1.269.O.	pvp1090
1.277.A.	pvp1090
1.194.O.	pvp1090
1.027.O.	pvp1090
1.277.B.	pvp1090
1.271.A.	pvp1090
1.282.A.	pvp1090
1.274.O.	pvp1090
1.283.C.	pvp1090
1.268.A.	pvp1090
1.171.O.	pvp1090
1.271.B.	pvp1090
1.238.B.	pvp1090
1.245.O.	pvp1090
1.246.O.	pvp1090
1.075.O.	pvp1090
1.036.O.	pvp1090
1.149.O.	pvp1090
1.186.O.	pvp1090
1.007.O.	pvp1090
1.283.B.	pvp1090
1.268.B.	pvp1090
1.094.O.	pvp1090
1.200.O.	pvp1090
1.196.O.	pvp1090
1.238.A.	pvp1090
1.017.O.	pvp1090
1.093.O.	pvp1090
1.267.O.	pvp1090
1.280.O.	pvp1090
1.195.O.	pvp1090
1.272.O.	pvp1090
1.283.A.	pvp1091
1.281.O.	pvp1091
1.270.B.	pvp1091
1.269.O.	pvp1091
1.277.A.	pvp1091
1.194.O.	pvp1091
1.027.O.	pvp1091
1.270.A.	pvp1091
1.277.B.	pvp1091
1.271.A.	pvp1091
1.282.A.	pvp1091
1.283.C.	pvp1091
1.268.A.	pvp1091
1.274.O.	pvp1091
1.271.B.	pvp1091
1.046.O.	pvp1091
1.032.O.	pvp1091
1.250.O.	pvp1091
1.118.A.	pvp1091
1.237.B.	pvp1091
1.118.B.	pvp1091
1.089.O.	pvp1091
1.104.O.	pvp1091
1.022.O.	pvp1091
1.283.B.	pvp1091
1.268.B.	pvp1091
1.200.O.	pvp1091
1.196.O.	pvp1091
1.237.A.	pvp1091
1.160.O.	pvp1091
1.098.O.	pvp1091
1.280.O.	pvp1091
1.195.O.	pvp1091
1.267.O.	pvp1091
1.272.O.	pvp1091
1.012.O.	pvp1091
1.187.O.	pvp1092
1.246.O.	pvp1092
1.076.O.	pvp1092
1.124.O.	pvp1092
1.030.O.	pvp1092
1.074.O.	pvp1092
1.133.O.	pvp1092
1.173.O.	pvp1092
1.038.O.	pvp1092
1.118.A.	pvp1092
1.118.B.	pvp1092
1.274.O.	pvp1092
1.269.O.	pvp1092
1.250.O.	pvp1092
1.029.O.	pvp1092
1.054.O.	pvp1092
1.265.O.	pvp1092
1.240.O.	pvp1092
1.239.O.	pvp1092
1.181.O.	pvp1092
1.278.O.	pvp1092
1.104.O.	pvp1092
1.024.O.	pvp1092
1.089.O.	pvp1092
1.237.B.	pvp1092
1.251.O.	pvp1092
1.088.O.	pvp1092
1.023.O.	pvp1092
1.237.A.	pvp1092
1.160.O.	pvp1092
1.098.O.	pvp1092
1.196.O.	pvp1092
1.103.O.	pvp1092
1.195.O.	pvp1092
1.267.O.	pvp1092
1.012.O.	pvp1092
1.085.O.	pvp1093
1.206.O.	pvp1093
1.131.O.	pvp1093
1.147.O.	pvp1093
1.162.O.	pvp1093
1.082.O.	pvp1093
1.239.O.	pvp1093
1.074.O.	pvp1093
1.242.O.	pvp1093
1.168.O.	pvp1093
1.172.O.	pvp1093
1.116.O.	pvp1093
1.189.B.	pvp1093
1.110.O.	pvp1093
1.189.O.	pvp1093
1.233.A.	pvp1093
1.233.B.	pvp1093
1.228.O.	pvp1093
1.134.O.	pvp1093
1.240.O.	pvp1093
1.189.C.	pvp1093
1.133.O.	pvp1093
1.182.O.	pvp1093
1.157.O.	pvp1093
1.148.O.	pvp1093
1.226.O.	pvp1093
1.108.O.	pvp1093
1.064.O.	pvp1093
1.115.A.	pvp1093
1.266.O.	pvp1093
1.132.O.	pvp1093
1.167.O.	pvp1093
1.165.O.	pvp1093
1.115.B.	pvp1093
1.176.O.	pvp1093
1.085.O.	pvp1094
1.206.O.	pvp1094
1.131.O.	pvp1094
1.147.O.	pvp1094
1.162.O.	pvp1094
1.168.O.	pvp1094
1.182.O.	pvp1094
1.110.O.	pvp1094
1.115.A.	pvp1094
1.167.O.	pvp1094
1.165.O.	pvp1094
1.134.O.	pvp1094
1.266.O.	pvp1094
1.226.O.	pvp1094
1.228.O.	pvp1094
1.233.A.	pvp1094
1.233.B.	pvp1094
1.239.O.	pvp1094
1.148.O.	pvp1094
1.074.O.	pvp1094
1.242.O.	pvp1094
1.082.O.	pvp1094
1.240.O.	pvp1094
1.189.C.	pvp1094
1.189.B.	pvp1094
1.189.O.	pvp1094
1.157.O.	pvp1094
1.064.O.	pvp1094
1.132.O.	pvp1094
1.108.O.	pvp1094
1.172.O.	pvp1094
1.116.O.	pvp1094
1.133.O.	pvp1094
1.115.B.	pvp1094
1.176.O.	pvp1094
1.085.O.	pvp1095
1.206.O.	pvp1095
1.131.O.	pvp1095
1.147.O.	pvp1095
1.162.O.	pvp1095
1.182.O.	pvp1095
1.233.B.	pvp1095
1.110.O.	pvp1095
1.168.O.	pvp1095
1.239.O.	pvp1095
1.167.O.	pvp1095
1.134.O.	pvp1095
1.266.O.	pvp1095
1.233.A.	pvp1095
1.148.O.	pvp1095
1.226.O.	pvp1095
1.189.B.	pvp1095
1.189.O.	pvp1095
1.240.O.	pvp1095
1.115.A.	pvp1095
1.242.O.	pvp1095
1.189.C.	pvp1095
1.133.O.	pvp1095
1.082.O.	pvp1095
1.165.O.	pvp1095
1.172.O.	pvp1095
1.074.O.	pvp1095
1.132.O.	pvp1095
1.116.O.	pvp1095
1.157.O.	pvp1095
1.064.O.	pvp1095
1.108.O.	pvp1095
1.228.O.	pvp1095
1.115.B.	pvp1095
1.176.O.	pvp1095
1.085.O.	pvp1096
1.131.O.	pvp1096
1.206.O.	pvp1096
1.147.O.	pvp1096
1.182.O.	pvp1096
1.162.O.	pvp1096
1.110.O.	pvp1096
1.233.A.	pvp1096
1.233.B.	pvp1096
1.074.O.	pvp1096
1.132.O.	pvp1096
1.165.O.	pvp1096
1.226.O.	pvp1096
1.157.O.	pvp1096
1.228.O.	pvp1096
1.242.O.	pvp1096
1.115.A.	pvp1096
1.167.O.	pvp1096
1.239.O.	pvp1096
1.082.O.	pvp1096
1.133.O.	pvp1096
1.189.O.	pvp1096
1.189.B.	pvp1096
1.189.C.	pvp1096
1.134.O.	pvp1096
1.168.O.	pvp1096
1.116.O.	pvp1096
1.172.O.	pvp1096
1.266.O.	pvp1096
1.148.O.	pvp1096
1.064.O.	pvp1096
1.108.O.	pvp1096
1.240.O.	pvp1096
1.115.B.	pvp1096
1.176.O.	pvp1096
1.284.A.	pvp1097
1.047.O.	pvp1097
1.113.A.	pvp1097
1.291.O.	pvp1097
1.289.A.	pvp1097
1.060.A.	pvp1097
1.197.A.	pvp1097
1.287.O.	pvp1097
1.116.O.	pvp1097
1.085.O.	pvp1097
1.134.O.	pvp1097
1.110.O.	pvp1097
1.189.O.	pvp1097
1.189.B.	pvp1097
1.189.C.	pvp1097
1.127.O.	pvp1097
1.137.O.	pvp1097
1.143.O.	pvp1097
1.231.O.	pvp1097
1.119.O.	pvp1097
2.095.A.	pvp1097
1.177.O.	pvp1097
1.213.O.	pvp1097
1.216.O.	pvp1097
1.198.A.	pvp1097
1.178.O.	pvp1097
1.198.B.	pvp1097
1.276.O.	pvp1097
1.265.O.	pvp1097
1.236.O.	pvp1097
2.095.B.	pvp1097
1.135.O.	pvp1097
1.239.O.	pvp1097
1.176.O.	pvp1097
1.172.O.	pvp1097
1.284.A.	pvp1098
1.289.A.	pvp1098
1.287.O.	pvp1098
1.246.O.	pvp1098
1.067.O.	pvp1098
1.091.O.	pvp1098
1.147.O.	pvp1098
1.162.O.	pvp1098
1.239.O.	pvp1098
1.132.O.	pvp1098
1.082.O.	pvp1098
1.115.A.	pvp1098
1.228.O.	pvp1098
1.113.A.	pvp1098
1.177.O.	pvp1098
1.127.O.	pvp1098
1.137.O.	pvp1098
1.124.O.	pvp1098
1.086.O.	pvp1098
1.233.A.	pvp1098
1.233.B.	pvp1098
1.243.O.	pvp1098
1.173.O.	pvp1098
1.197.A.	pvp1098
1.110.O.	pvp1098
1.047.O.	pvp1098
12G01.O.	pvp1098
1.191.O.	pvp1098
1.115.B.	pvp1098
1.029.O.	pvp1098
1.210.O.	pvp1098
1.076.O.	pvp1098
1.256.O.	pvp1098
1.112.O.	pvp1098
1.176.O.	pvp1098
1.147.O.	pvp1099
1.162.O.	pvp1099
1.168.O.	pvp1099
1.240.O.	pvp1099
1.110.O.	pvp1099
1.064.O.	pvp1099
1.108.O.	pvp1099
1.085.O.	pvp1099
1.242.O.	pvp1099
1.148.O.	pvp1099
1.228.O.	pvp1099
1.157.O.	pvp1099
1.144.O.	pvp1099
1.275.O.	pvp1099
1.013.O.	pvp1099
1.151.O.	pvp1099
1.247.B.	pvp1099
1.247.A.	pvp1099
1.166.O.	pvp1099
1.190.O.	pvp1099
1.127.O.	pvp1099
1.216.O.	pvp1099
1.213.O.	pvp1099
1.119.O.	pvp1099
1.231.O.	pvp1099
1.143.O.	pvp1099
1.137.O.	pvp1099
1.184.A.	pvp1099
1.211.B.	pvp1099
1.211.A.	pvp1099
1.029.O.	pvp1099
1.052.A.	pvp1099
1.135.O.	pvp1099
1.183.O.	pvp1099
1.214.O.	pvp1099
2.058.O.	pvp1100
1.178.O.	pvp1100
1.198.A.	pvp1100
1.198.B.	pvp1100
1.206.O.	pvp1100
1.233.B.	pvp1100
1.233.A.	pvp1100
1.113.A.	pvp1100
1.197.A.	pvp1100
1.291.O.	pvp1100
1.047.O.	pvp1100
1.289.A.	pvp1100
1.287.O.	pvp1100
1.060.A.	pvp1100
1.284.A.	pvp1100
1.265.O.	pvp1100
3.058.O.	pvp1100
2.095.A.	pvp1100
1.231.O.	pvp1100
1.127.O.	pvp1100
1.143.O.	pvp1100
1.119.O.	pvp1100
1.137.O.	pvp1100
1.135.O.	pvp1100
1.213.O.	pvp1100
1.216.O.	pvp1100
1.177.O.	pvp1100
1.151.O.	pvp1100
1.144.O.	pvp1100
1.276.O.	pvp1100
2.095.B.	pvp1100
1.236.O.	pvp1100
1.215.B.	pvp1100
1.215.A.	pvp1100
1.085.O.	pvp1101
1.206.O.	pvp1101
1.131.O.	pvp1101
1.147.O.	pvp1101
1.082.O.	pvp1101
1.168.O.	pvp1101
1.240.O.	pvp1101
1.172.O.	pvp1101
1.116.O.	pvp1101
1.167.O.	pvp1101
1.162.O.	pvp1101
1.133.O.	pvp1101
1.182.O.	pvp1101
1.233.A.	pvp1101
1.266.O.	pvp1101
1.233.B.	pvp1101
1.074.O.	pvp1101
1.242.O.	pvp1101
1.226.O.	pvp1101
1.110.O.	pvp1101
1.148.O.	pvp1101
1.239.O.	pvp1101
1.132.O.	pvp1101
1.165.O.	pvp1101
1.115.A.	pvp1101
1.189.O.	pvp1101
1.189.C.	pvp1101
1.189.B.	pvp1101
1.108.O.	pvp1101
1.157.O.	pvp1101
1.064.O.	pvp1101
1.228.O.	pvp1101
1.115.B.	pvp1101
1.176.O.	pvp1101
1.085.O.	pvp1102
1.206.O.	pvp1102
1.131.O.	pvp1102
1.147.O.	pvp1102
1.162.O.	pvp1102
1.064.O.	pvp1102
1.082.O.	pvp1102
1.115.A.	pvp1102
1.165.O.	pvp1102
1.239.O.	pvp1102
1.167.O.	pvp1102
1.108.O.	pvp1102
1.226.O.	pvp1102
1.266.O.	pvp1102
1.157.O.	pvp1102
1.228.O.	pvp1102
1.133.O.	pvp1102
1.074.O.	pvp1102
1.132.O.	pvp1102
1.110.O.	pvp1102
1.233.A.	pvp1102
1.233.B.	pvp1102
1.168.O.	pvp1102
1.134.O.	pvp1102
1.182.O.	pvp1102
1.148.O.	pvp1102
1.172.O.	pvp1102
1.116.O.	pvp1102
1.189.C.	pvp1102
1.189.O.	pvp1102
1.189.B.	pvp1102
1.240.O.	pvp1102
1.115.B.	pvp1102
1.176.O.	pvp1102
1.085.O.	pvp1103
1.131.O.	pvp1103
1.206.O.	pvp1103
1.147.O.	pvp1103
1.108.O.	pvp1103
1.064.O.	pvp1103
1.162.O.	pvp1103
1.182.O.	pvp1103
1.226.O.	pvp1103
1.168.O.	pvp1103
1.116.O.	pvp1103
1.172.O.	pvp1103
1.134.O.	pvp1103
1.133.O.	pvp1103
1.266.O.	pvp1103
1.074.O.	pvp1103
1.242.O.	pvp1103
1.082.O.	pvp1103
1.189.B.	pvp1103
1.189.O.	pvp1103
1.189.C.	pvp1103
1.239.O.	pvp1103
1.132.O.	pvp1103
1.115.A.	pvp1103
1.167.O.	pvp1103
1.165.O.	pvp1103
1.228.O.	pvp1103
1.157.O.	pvp1103
1.233.A.	pvp1103
1.233.B.	pvp1103
1.240.O.	pvp1103
1.110.O.	pvp1103
1.115.B.	pvp1103
1.176.O.	pvp1103
1.085.O.	pvp1104
1.087.A.	pvp1104
1.231.O.	pvp1104
1.266.O.	pvp1104
1.147.O.	pvp1104
1.162.O.	pvp1104
1.110.O.	pvp1104
1.082.O.	pvp1104
2.095.A.	pvp1104
1.182.O.	pvp1104
1.132.O.	pvp1104
1.226.O.	pvp1104
1.168.O.	pvp1104
1.213.O.	pvp1104
1.144.O.	pvp1104
1.091.O.	pvp1104
1.036.O.	pvp1104
1.067.O.	pvp1104
12G01.O.	pvp1104
1.275.O.	pvp1104
1.205.O.	pvp1104
1.119.O.	pvp1104
1.143.O.	pvp1104
1.127.O.	pvp1104
1.100.O.	pvp1104
1.216.O.	pvp1104
1.038.O.	pvp1104
1.071.A.	pvp1104
1.016.O.	pvp1104
1.079.O.	pvp1104
1.042.O.	pvp1104
2.095.B.	pvp1104
1.061.O.	pvp1104
1.236.O.	pvp1104
1.085.O.	pvp1105
1.206.O.	pvp1105
1.131.O.	pvp1105
1.284.A.	pvp1105
1.289.A.	pvp1105
1.287.O.	pvp1105
1.291.O.	pvp1105
1.178.O.	pvp1105
1.177.O.	pvp1105
1.013.O.	pvp1105
1.242.O.	pvp1105
1.054.O.	pvp1105
1.134.O.	pvp1105
1.116.O.	pvp1105
1.132.O.	pvp1105
1.110.O.	pvp1105
1.108.O.	pvp1105
1.064.O.	pvp1105
1.162.O.	pvp1105
1.074.O.	pvp1105
1.039.O.	pvp1105
1.246.O.	pvp1105
1.233.A.	pvp1105
1.233.B.	pvp1105
1.147.O.	pvp1105
1.240.O.	pvp1105
1.172.O.	pvp1105
1.165.O.	pvp1105
1.061.O.	pvp1105
1.184.A.	pvp1105
1.214.O.	pvp1105
1.176.O.	pvp1105
1.283.A.	pvp1106
1.270.B.	pvp1106
1.281.O.	pvp1106
1.270.A.	pvp1106
1.269.O.	pvp1106
1.277.A.	pvp1106
1.194.O.	pvp1106
1.027.O.	pvp1106
1.277.B.	pvp1106
1.271.A.	pvp1106
1.282.A.	pvp1106
1.274.O.	pvp1106
1.283.C.	pvp1106
1.268.A.	pvp1106
1.271.B.	pvp1106
1.171.O.	pvp1106
1.285.O.	pvp1106
1.033.O.	pvp1106
1.032.O.	pvp1106
1.046.O.	pvp1106
1.104.O.	pvp1106
1.088.O.	pvp1106
1.250.O.	pvp1106
1.022.O.	pvp1106
1.283.B.	pvp1106
1.268.B.	pvp1106
1.200.O.	pvp1106
1.196.O.	pvp1106
1.280.O.	pvp1106
1.023.O.	pvp1106
1.103.O.	pvp1106
1.195.O.	pvp1106
1.267.O.	pvp1106
1.272.O.	pvp1106
2.058.O.	pvp1107
1.250.O.	pvp1107
1.270.B.	pvp1107
1.281.O.	pvp1107
1.270.A.	pvp1107
1.269.O.	pvp1107
1.277.A.	pvp1107
1.088.O.	pvp1107
1.194.O.	pvp1107
1.027.O.	pvp1107
1.271.A.	pvp1107
1.282.A.	pvp1107
1.104.O.	pvp1107
1.277.B.	pvp1107
1.283.A.	pvp1107
1.274.O.	pvp1107
1.283.C.	pvp1107
1.268.A.	pvp1107
1.271.B.	pvp1107
1.171.O.	pvp1107
1.118.B.	pvp1107
1.118.A.	pvp1107
1.283.B.	pvp1107
1.268.B.	pvp1107
1.200.O.	pvp1107
1.196.O.	pvp1107
3.058.O.	pvp1107
1.280.O.	pvp1107
1.023.O.	pvp1107
1.103.O.	pvp1107
1.267.O.	pvp1107
1.195.O.	pvp1107
1.272.O.	pvp1107
1.003.O.	pvp1108
1.039.O.	pvp1108
1.090.B.	pvp1108
1.036.O.	pvp1108
1.071.A.	pvp1108
1.016.O.	pvp1108
1.079.O.	pvp1108
1.038.O.	pvp1108
2.095.A.	pvp1108
1.144.O.	pvp1108
1.177.O.	pvp1108
1.127.O.	pvp1108
1.231.O.	pvp1108
1.143.O.	pvp1108
1.119.O.	pvp1108
1.275.O.	pvp1108
1.178.O.	pvp1108
1.198.B.	pvp1108
1.198.A.	pvp1108
1.137.O.	pvp1108
1.216.O.	pvp1108
1.213.O.	pvp1108
1.091.O.	pvp1108
12G01.O.	pvp1108
1.067.O.	pvp1108
1.276.O.	pvp1108
1.236.O.	pvp1108
1.265.O.	pvp1108
2.095.B.	pvp1108
1.135.O.	pvp1108
1.061.O.	pvp1108
1.042.O.	pvp1108
1.112.O.	pvp1108
1.003.O.	pvp1109
1.016.O.	pvp1109
1.071.A.	pvp1109
1.079.O.	pvp1109
1.137.O.	pvp1109
1.036.O.	pvp1109
1.090.B.	pvp1109
1.039.O.	pvp1109
1.213.O.	pvp1109
1.119.O.	pvp1109
1.231.O.	pvp1109
1.143.O.	pvp1109
2.095.A.	pvp1109
1.177.O.	pvp1109
1.127.O.	pvp1109
1.038.O.	pvp1109
1.216.O.	pvp1109
1.178.O.	pvp1109
1.198.A.	pvp1109
1.144.O.	pvp1109
1.198.B.	pvp1109
1.091.O.	pvp1109
1.265.O.	pvp1109
12G01.O.	pvp1109
1.067.O.	pvp1109
1.276.O.	pvp1109
1.236.O.	pvp1109
1.135.O.	pvp1109
1.112.O.	pvp1109
1.042.O.	pvp1109
2.095.B.	pvp1109
1.061.O.	pvp1109
1.003.O.	pvp1110
1.079.O.	pvp1110
1.016.O.	pvp1110
1.036.O.	pvp1110
1.071.A.	pvp1110
1.039.O.	pvp1110
1.090.B.	pvp1110
1.177.O.	pvp1110
1.038.O.	pvp1110
2.095.A.	pvp1110
1.127.O.	pvp1110
1.137.O.	pvp1110
1.143.O.	pvp1110
1.119.O.	pvp1110
1.231.O.	pvp1110
1.213.O.	pvp1110
1.144.O.	pvp1110
1.216.O.	pvp1110
1.198.A.	pvp1110
1.198.B.	pvp1110
1.178.O.	pvp1110
1.091.O.	pvp1110
1.265.O.	pvp1110
12G01.O.	pvp1110
1.067.O.	pvp1110
1.276.O.	pvp1110
1.236.O.	pvp1110
2.095.B.	pvp1110
1.135.O.	pvp1110
1.112.O.	pvp1110
1.042.O.	pvp1110
1.061.O.	pvp1110
1.003.O.	pvp1111
1.039.O.	pvp1111
1.144.O.	pvp1111
1.090.B.	pvp1111
1.079.O.	pvp1111
1.071.A.	pvp1111
1.016.O.	pvp1111
1.036.O.	pvp1111
1.038.O.	pvp1111
1.177.O.	pvp1111
1.137.O.	pvp1111
1.127.O.	pvp1111
